id,hits,lengthTell,lengthRatio,keywordTell,keywordWord,keywordAll,recallOnly,stemWords,underTagged,tagCount,stemPreview
"gcp-pmle-011","2","Y","1.6","Y","fairness","fairness","","44","","3","A model that scores resumes is found to under-rank candidates from one demograph"
"gcp-pmle-010","2","Y","1.34","Y","sharded","sharded","","37","","4","You have 8 TB of raw JSON logs that you want to convert into a sharded, compress"
"gcp-pmle-009","2","Y","1.32","Y","optimization","optimization","","37","","3","You are tuning seven hyperparameters of a custom model and want Google to use Ba"
"gcp-pmle-003","2","Y","1.26","Y","store","store","","41","","3","Two teams keep computing the same customer-recency and 30-day-purchase features "
"gcp-pmle-012","2","Y","1.18","Y","jupyterlab","jupyterlab","","44","","3","A data-science team prefers JupyterLab and wants a fully managed development env"
"gcp-pmle-007","2","Y","1.17","Y","attributions","attributions","","37","","3","Your model approves or denies loan applications and must produce, per request, t"
"gcp-pmle-006","1","Y","1.24","","","","","44","","3","A retail recommender must respond to web requests with personalized suggestions "
"gcp-pmle-005","1","Y","1.2","","","","","41","","4","A regulated insurer must reproduce, on demand, the exact data, code and hyperpar"
"gcp-pmle-008","1","Y","1.17","","","","","41","","3","You must train a deep image classifier on 100 GB of labeled photos as fast as po"
"gcp-pmle-001","1","","1","Y","platform","platform","","39","","3","Your team needs a single managed Google Cloud platform that supports the entire "
"gcp-pmle-004","0","","1.12","","","","","47","","3","After deploying a fraud-detection model to a Vertex AI endpoint, you notice grad"
"gcp-pmle-002","0","","0.95","","","","","35","","3","A data analyst with strong SQL skills but limited Python experience needs to tra"
