id,hits,lengthTell,lengthRatio,keywordTell,keywordWord,keywordAll,recallOnly,stemWords,underTagged,tagCount,stemPreview
"github-foundations-006","1","","1.03","Y","structured","structured","","31","","4","A maintainer wants contributors who open new bug reports to fill in specific fie"
"github-foundations-002","1","","1","Y","file","file","","27","","5","A developer edits a file and runs `git commit -m ""fix bug""`, but the commit comp"
"github-foundations-004","1","","1","Y","changes","changes","","24","","5","An external contributor without write access wants to propose changes to an open"
"github-foundations-008","1","","1","Y","fields","fields","","37","","4","A team tracks work across multiple repositories and wants a single board with cu"
"github-foundations-010","1","","1","Y","two-factor","two-factor|authentication","","25","","5","An organization owner wants to require that every member of the organization use"
"github-foundations-007","1","","0.98","Y","cloud","cloud","","33","","4","A maintainer wants new contributors to be able to start working on the project i"
"github-foundations-009","1","","0.98","Y","dependency","dependency","","32","","5","A repository depends on third-party libraries declared in `package.json`. The ow"
"github-foundations-003","0","","1","","","","","29","","4","A team wants log files generated under `logs/` to never be tracked by Git, regar"
"github-foundations-005","0","","1","","","","","28","","4","A reviewer opens the Files changed tab of a pull request to leave feedback on sp"
"github-foundations-001","0","","0.98","","","","","20","","5","A new team member asks how Git differs from GitHub. Which statement most accurat"
