id,hits,lengthTell,lengthRatio,keywordTell,keywordWord,keywordAll,recallOnly,stemWords,underTagged,tagCount,stemPreview
"okta-certified-professional-012","2","Y","1.76","Y","web","web","","28","","4","A legacy web app supports no federation protocol — it only has a standard userna"
"okta-certified-professional-003","2","Y","1.31","Y","outside","outside","","28","","4","Security wants users prompted for a second factor only when they sign in from ou"
"okta-certified-professional-008","2","Y","1.22","Y","group","group|department|attribute","","28","","3","An admin wants users automatically added to the 'Sales' group whenever their dep"
"okta-certified-professional-001","2","Y","1.17","Y","sources","sources","","34","","3","An organization sources user attributes from on-prem Active Directory and a clou"
"okta-certified-professional-006","1","Y","1.9","","","","","19","","4","Which Okta authentication factor offers phishing-resistant, passwordless sign-in"
"okta-certified-professional-009","1","Y","1.36","","","","","24","","4","To import users from on-prem Active Directory and delegate password validation t"
"okta-certified-professional-007","1","Y","1.32","","","","","31","","3","An admin has stacked several rules in an Okta sign-on policy, and a sign-in is b"
"okta-certified-professional-004","1","Y","1.19","","","","","31","","3","An Okta admin is building a policy rule that should apply only to sign-ins from "
"okta-certified-professional-005","1","Y","1.19","","","","","26","","4","Okta should automatically create, update, and deactivate accounts in a downstrea"
"okta-certified-professional-002","0","","0.87","","","","","30","","4","A developer is building a new single-page web application that must sign users i"
"okta-certified-professional-011","0","","0.87","","","","","19","","3","With delegated authentication to Active Directory enabled, where is a user's pas"
"okta-certified-professional-010","0","","0.46","","","","","24","","4","An admin needs to investigate why several users were denied access yesterday and"
